,state,total.confirmed.NHresident.per1000,total.confirmed.resident,complete.vaccinated.NHresident.per1000,state_name,total.confirmed.state.per1000,overall.rating,health.inspection.rating,qm.rating,staffing.rating
25,MO,453.7489417,6.896095849,850.8604715,missouri,90.44,2.9743083,2.806324111,3.277777778,2.805785124
26,MS,526.8100196,6.144334433,825.7708209,mississippi,123.04,2.859296482,2.783919598,2.130653266,3.48241206
27,MT,320.1393778,4.032380952,886.0838406,montana,78.3,3.52173913,2.826086957,3.855072464,3.913043478
28,NC,429.4056923,12.45007545,833.928076,north carolina,72.12,2.93144208,2.80141844,3.444711538,2.729468599
29,ND,363.2220491,3.579487179,922.2227922,north dakota,79.68,3.397435897,2.730769231,3.448717949,4.346153846
30,NE,333.1220544,4.623874644,920.0418299,nebraska,72.21,3.381443299,2.829896907,3.613402062,3.75257732
31,NH,346.1972405,4.762162162,931.6910274,new hampshire,42.69,3.263888889,2.722222222,3.75,3.597222222
32,NJ,469.7970445,30.10563358,871.0175647,new jersey,117.92,3.566572238,2.855524079,4.252124646,3.52991453
33,NM,462.2786599,17.42952381,840.6257353,new mexico,59.86,3.338235294,2.867647059,3.470588235,3.470588235
34,NV,466.5179562,22.24848485,723.3472308,nevada,69.44,3.253968254,2.873015873,3.903225806,3.158730159
35,NY,336.1307336,20.41286516,875.5578273,new york,107.49,3.255737705,2.818032787,4.159539474,2.670510708
36,OH,424.9389668,9.977446263,817.2697466,ohio,75.6,3.030042918,2.771459227,3.793548387,2.514531755
37,OK,457.3335266,9.503628118,825.5891176,oklahoma,96.24,2.731958763,2.759450172,3.037931034,2.505190311
38,OR,216.7024565,8.65,837.1376984,oregon,30.67,3.5078125,2.7421875,4.0234375,3.921259843
39,PA,455.5805326,13.70257127,872.2377843,pennsylvania,77.33,3.30191458,2.851251841,3.758468336,3.336283186
40,PR,96.14434722,0.388888889,771.0491667,puerto rico,84.89,3,2.333333333,4.8,3
41,RI,532.687723,14.61541667,932.5008442,rhode island,86.12,3.315789474,2.605263158,3.868421053,3.706666667
42,SC,476.7852084,13.89543229,826.9558919,south carolina,84.13,3.23655914,2.908602151,3.172043011,3.35483871
43,SD,384.8608657,3.767548077,940.9027184,south dakota,96.1,3.294117647,2.81372549,3.519607843,3.693069307
44,TN,440.9699279,11.03432413,794.2493387,tennessee,82.58,3.11038961,2.808441558,3.441558442,2.895765472
45,TX,482.6385015,12.81332636,799.969351,texas,99.62,2.747234043,2.854468085,3.324531516,2.047904192
46,UT,352.9763336,16.38327606,861.8052062,utah,73.4,3.821052632,2.821052632,4.684210526,3.734042553
47,VA,399.797361,9.738635478,865.1196842,virginia,58.41,3.180212014,2.816254417,3.763250883,2.921985816
48,VT,95.16277143,2.014285714,960.9612857,vermont,19.08,3.5,3,3.705882353,3.735294118
49,WA,300.9359431,8.696802168,870.5115327,washington,35.78,3.670050761,2.802030457,4.158163265,3.937823834
50,WI,311.8842795,6.068267458,876.9350288,wisconsin,59.58,3.502906977,2.834302326,3.968023256,3.803519062
51,WV,330.6416562,3.256097561,879.7382114,west virginia,61.89,3.090909091,2.826446281,3.190082645,3.225
52,WY,287.7959846,3.337237237,903.0409722,wyoming,67.02,3.457142857,2.971428571,3.588235294,3.823529412
>>>>>>> Stashed changes,,,,,,,,,,
